Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
aug_0_948.png_flip_h,FreshFish,72.8462469362745,137.46855824682814,98.07806372549022,190.87032679738562,0.31499444710802427,0.2221871367752727,0.2842250799098038,0.19955107042767584,5.005928308823529,7.474340638216072,6.109405637254904,8.724967320261436,8.207469743794231,8.599302435157425,8.41541336850966,8.738117916950829,0.0008746912808475105,0.0005500926284377951,0.0006335932619064785,0.0004700381259921174,0.029575180149028858,0.023454053560904884,0.02517127851155913,0.02168036268128643,0.9905327510495983,0.9821357305588978,0.9872651049984651,0.9751961018570565
aug_0_948.png_flip_v,FreshFish,72.8462469362745,137.46855824682814,98.07806372549022,190.87032679738562,0.31499444710802427,0.2221871367752727,0.2842250799098038,0.19955107042767584,5.005928308823529,7.474340638216072,6.109405637254904,8.724967320261436,8.207469743794231,8.599302435157425,8.41541336850966,8.738117916950829,0.0008746912808475105,0.0005500926284377951,0.0006335932619064785,0.0004700381259921174,0.029575180149028858,0.023454053560904884,0.02517127851155913,0.02168036268128643,0.9905327510495983,0.9821357305588978,0.9872651049984651,0.9751961018570565
aug_0_948.png_rot_90,FreshFish,98.07806372549022,137.46855824682814,72.8462469362745,190.87032679738562,0.2842250799098038,0.2221871367752727,0.31499444710802427,0.19955107042767584,6.109405637254904,7.474340638216072,5.005928308823529,8.724967320261436,8.41541336850966,8.599302435157425,8.207469743794231,8.738117916950829,0.0006335932619064785,0.0005500926284377951,0.0008746912808475105,0.0004700381259921174,0.02517127851155913,0.023454053560904884,0.029575180149028858,0.02168036268128643,0.9872651049984651,0.9821357305588978,0.9905327510495983,0.9751961018570565
aug_0_948.png_rot_180,FreshFish,72.8462469362745,190.87032679738562,98.07806372549022,137.46855824682814,0.31499444710802427,0.19955107042767584,0.2842250799098038,0.2221871367752727,5.005928308823529,8.724967320261436,6.109405637254904,7.474340638216072,8.207469743794231,8.738117916950829,8.41541336850966,8.599302435157425,0.0008746912808475105,0.0004700381259921174,0.0006335932619064785,0.0005500926284377951,0.029575180149028858,0.02168036268128643,0.02517127851155913,0.023454053560904884,0.9905327510495983,0.9751961018570565,0.9872651049984651,0.9821357305588978
aug_0_9529.png_flip_h,FreshFish,78.98789828431372,116.7106497500961,32.843504901960785,101.7675355632449,0.59232200270077,0.5690964442007423,0.6368248886582948,0.5854122143099374,3.600765931372549,4.62311418685121,2.3060355392156864,3.9008688965782383,5.044022079879521,5.175073926443048,4.796191358435378,5.081996207229919,0.24025179524551857,0.2365747180608528,0.2429466491018704,0.2371584885652325,0.49015486863390284,0.4863894715768967,0.49289618491308124,0.4869892078529385,0.991955828558854,0.9881205074890516,0.9966538367377349,0.9896415050454274
aug_0_9529.png_flip_v,FreshFish,78.98789828431372,116.7106497500961,32.843504901960785,101.7675355632449,0.59232200270077,0.5690964442007423,0.6368248886582948,0.5854122143099374,3.600765931372549,4.62311418685121,2.3060355392156864,3.9008688965782383,5.044022079879521,5.175073926443048,4.796191358435378,5.081996207229919,0.24025179524551857,0.2365747180608528,0.2429466491018704,0.2371584885652325,0.49015486863390284,0.4863894715768967,0.49289618491308124,0.4869892078529385,0.991955828558854,0.9881205074890516,0.9966538367377349,0.9896415050454274
aug_0_9529.png_rot_90,FreshFish,32.843504901960785,116.7106497500961,78.98789828431372,101.7675355632449,0.6368248886582948,0.5690964442007423,0.59232200270077,0.5854122143099374,2.3060355392156864,4.62311418685121,3.600765931372549,3.9008688965782383,4.796191358435378,5.175073926443048,5.044022079879521,5.081996207229919,0.2429466491018704,0.2365747180608528,0.24025179524551857,0.2371584885652325,0.49289618491308124,0.4863894715768967,0.49015486863390284,0.4869892078529385,0.9966538367377349,0.9881205074890516,0.991955828558854,0.9896415050454274
aug_0_9529.png_rot_180,FreshFish,78.98789828431372,101.7675355632449,32.843504901960785,116.7106497500961,0.59232200270077,0.5854122143099374,0.6368248886582948,0.5690964442007423,3.600765931372549,3.9008688965782383,2.3060355392156864,4.62311418685121,5.044022079879521,5.081996207229919,4.796191358435378,5.175073926443048,0.24025179524551857,0.2371584885652325,0.2429466491018704,0.2365747180608528,0.49015486863390284,0.4869892078529385,0.49289618491308124,0.4863894715768967,0.991955828558854,0.9896415050454274,0.9966538367377349,0.9881205074890516
aug_0_9553.png_flip_h,FreshFish,43.794546568627446,33.55569396386005,24.805223651960787,95.66039215686276,0.6059782558690655,0.5658789168640062,0.6552762695310618,0.579171935768277,2.6337622549019604,2.4716493656286045,1.9572763480392152,3.8165167243367937,6.88063205815798,6.941323689441871,6.663158427828812,7.057761910456518,0.006729269002043985,0.006019467802952197,0.0073591405508473305,0.006078386141076962,0.08203212176973107,0.07758522928336421,0.08578543320895063,0.0779640054196612,0.9929750904079196,0.994621516529043,0.9960172017619541,0.9846669840739284
aug_0_9553.png_flip_v,FreshFish,43.794546568627446,33.55569396386005,24.805223651960787,95.66039215686276,0.6059782558690655,0.5658789168640062,0.6552762695310618,0.579171935768277,2.6337622549019604,2.4716493656286045,1.9572763480392152,3.8165167243367937,6.88063205815798,6.941323689441871,6.663158427828812,7.057761910456518,0.006729269002043985,0.006019467802952197,0.0073591405508473305,0.006078386141076962,0.08203212176973107,0.07758522928336421,0.08578543320895063,0.0779640054196612,0.9929750904079196,0.994621516529043,0.9960172017619541,0.9846669840739284
